artist,asset,candidate,candidate_score,common,credit,key,license,rank,scientific,source,status,url
,,,,Bufflehead,,bucephala-albeola,,164,Bucephala albeola,,missing-source,
,bucephala-clangula.webp,,,Common Goldeneye,,bucephala-clangula,,165,Bucephala clangula,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVGoldeneye.jpg
,bucephala-islandica.webp,,,Barrow's Goldeneye,,bucephala-islandica,,166,Bucephala islandica,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVBarrows_Duck.jpg
,lophodytes-cucullatus.webp,,,Hooded Merganser,,lophodytes-cucullatus,,167,Lophodytes cucullatus,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVHooded_Merganser.jpg
,mergus-serrator.webp,,,Red-breasted Merganser,,mergus-serrator,,168,Mergus serrator,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVRed-breasted_Merganser.jpg
,mergus-merganser.webp,,,Common Merganser,,mergus-merganser,,169,Mergus merganser,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVGoosander.jpg
,,,,Ruddy Duck,,oxyura-jamaicensis,,170,Oxyura jamaicensis,,missing-source,
,pandion-haliaetus.webp,,,Osprey,,pandion-haliaetus,,171,Pandion haliaetus,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIOsprey.jpg
,elanoides-forficatus.webp,,,Swallow-tailed Kite,,elanoides-forficatus,,172,Elanoides forficatus,gould,existing,https://commons.wikimedia.org/wiki/File:The_birds_of_Europe_(9398548273).jpg
,,,,White-tailed Kite,,elanus-leucurus,,173,Elanus leucurus,,missing-source,
,haliaeetus-leucocephalus.webp,,,Bald Eagle,,haliaeetus-leucocephalus,,174,Haliaeetus leucocephalus,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIWhite-headed_Eagle.jpg
,,,,Northern Harrier,,circus-hudsonius,,175,Circus hudsonius,,missing-source,
,,,,Sharp-shinned Hawk,,accipiter-striatus,,176,Accipiter striatus,,missing-source,
,,,,Broad-winged Hawk,,buteo-platypterus,,177,Buteo platypterus,,missing-source,
,,,,White-tailed Hawk,,geranoaetus-albicaudatus,,178,Geranoaetus albicaudatus,,missing-source,
,,,,Zone-tailed Hawk,,buteo-albonotatus,,179,Buteo albonotatus,,missing-source,
,,,,Ferruginous Hawk,,buteo-regalis,,180,Buteo regalis,,missing-source,
,buteo-lagopus.webp,,,Rough-legged Hawk,,buteo-lagopus,,181,Buteo lagopus,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIRough-legged_Buzzard.jpg
,aquila-chrysaetos.webp,,,Golden Eagle,,aquila-chrysaetos,,182,Aquila chrysaetos,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIGolden_Eagle.jpg
,falco-columbarius.webp,,,Merlin,,falco-columbarius,,183,Falco columbarius,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIMerlin.jpg
,falco-peregrinus.webp,,,Peregrine Falcon,,falco-peregrinus,,184,Falco peregrinus,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIPeregrine_Falcon.jpg
,,,,Prairie Falcon,,falco-mexicanus,,185,Falco mexicanus,,missing-source,
,,,,Wild Turkey,,meleagris-gallopavo,,186,Meleagris gallopavo,,missing-source,
,,,,Northern Bobwhite,,colinus-virginianus,,187,Colinus virginianus,,missing-source,
,,,,Sandhill Crane,,antigone-canadensis,,188,Antigone canadensis,,missing-source,
,pluvialis-squatarola.webp,,,Black-bellied Plover,,pluvialis-squatarola,,189,Pluvialis squatarola,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVGrey_Plover.jpg
,,,,American Golden-Plover,,pluvialis-dominica,,190,Pluvialis dominica,,missing-source,
,,,,Snowy Plover,,anarhynchus-nivosus,,191,Anarhynchus nivosus,,missing-source,
,,,,Wilson's Plover,,anarhynchus-wilsonia,,192,Anarhynchus wilsonia,,missing-source,
,,,,Semipalmated Plover,,charadrius-semipalmatus,,193,Charadrius semipalmatus,,missing-source,
,,,,Piping Plover,,charadrius-melodus,,194,Charadrius melodus,,missing-source,
,,,,Black-necked Stilt,,himantopus-mexicanus,,195,Himantopus mexicanus,,missing-source,
,,,,American Avocet,,recurvirostra-americana,,196,Recurvirostra americana,,missing-source,
,,,,Greater Yellowlegs,,tringa-melanoleuca,,197,Tringa melanoleuca,,missing-source,
,,,,Lesser Yellowlegs,,tringa-flavipes,,198,Tringa flavipes,,missing-source,
,,,,Solitary Sandpiper,,tringa-solitaria,,199,Tringa solitaria,,missing-source,
,,,,Willet,,tringa-semipalmata,,200,Tringa semipalmata,,missing-source,
,bartramia-longicauda.webp,,,Upland Sandpiper,,bartramia-longicauda,,201,Bartramia longicauda,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVBartrams_Sandpiper.jpg
,numenius-phaeopus.webp,,,Whimbrel,,numenius-phaeopus,,202,Numenius phaeopus,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVWhimbrel.jpg
,,,,Long-billed Curlew,,numenius-americanus,,203,Numenius americanus,,missing-source,
,,,,Hudsonian Godwit,,limosa-haemastica,,204,Limosa haemastica,,missing-source,
,,,,Marbled Godwit,,limosa-fedoa,,205,Limosa fedoa,,missing-source,
,arenaria-interpres.webp,,,Ruddy Turnstone,,arenaria-interpres,,206,Arenaria interpres,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVTurnstone.jpg
,calidris-canutus.webp,,,Red Knot,,calidris-canutus,,207,Calidris canutus,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVKnot.jpg
,calidris-alba.webp,,,Sanderling,,calidris-alba,,208,Calidris alba,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVSanderling.jpg
,calidris-pusilla.webp,,,Semipalmated Sandpiper,,calidris-pusilla,,209,Calidris pusilla,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVSemipalmated_Sandpiper.jpg
,,,,Western Sandpiper,,calidris-mauri,,210,Calidris mauri,,missing-source,
,,,,Least Sandpiper,,calidris-minutilla,,211,Calidris minutilla,,missing-source,
,,,,White-rumped Sandpiper,,calidris-fuscicollis,,212,Calidris fuscicollis,,missing-source,
,,,,Baird's Sandpiper,,calidris-bairdii,,213,Calidris bairdii,,missing-source,
,calidris-melanotos.webp,,,Pectoral Sandpiper,,calidris-melanotos,,214,Calidris melanotos,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVPectoral_Sandpiper.jpg
,calidris-maritima.webp,,,Purple Sandpiper,,calidris-maritima,,215,Calidris maritima,gould,existing,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVPurple_Sandpiper.jpg
